,preco_1,preco_2,endereco_1,endereco_2,descricao,attr1,attr2,attr3,attr4,attr5
43,R$ 1.200.000,"R$ 5.182,89/mês",Barão Geraldo,"Descrição
Imóvel possui zoneamento residencial/comercial no Centro de Barão Geraldo.

Imóvel térreo, construção sólida, aproveita muito bem a luz natural, cômodos amplos, armários embutidos (dormitórios, cozinha, sala de estar, escritório), preparação para água quente nos banheiros e cozinha (gás ou energia fotovoltaica).

Possui antessala com mezanino, 02 salas amplas, escritório, 03 dormitórios (sendo 02 suítes), lavabo, banheiro comum, cozinha com despensa, lavanderia, área gourmet e amplo quintal.

Localização privilegiada: Próximo a mercados, bares/restaurantes, bancos, postos de gasolina, academia, escolas.

Amplo espaço para estacionamento, Muros altos, alarme, cerca elétrica e portão eletrônico com câmera.

Documentação em dia, apto para financiamento bancário/FGTS.",Casa em Campinas,3quartos,2suítes,4banheiros,6vagas,"265,40m²"
44,R$ 750.000,"R$ 3.275,42/mês",Bosque de Barão Geraldo,"Bosque de Barão Geraldo - Campinas - SP

Sobrado de 3 dormitórios, sendo 1 suíte
Sala de estar; lavabo; escritório; Sala de Tv
Cozinha com gabinete e armários de parede
Quintal com gramado.",Casa em Campinas,3quartos,1suíte,4banheiros,4vagas,"217,66m²"
45,R$ 850,R$ 1.080/mês,Cidade Universitária,"Cidade Universitária 01 - 700 metros Unicamp;

Kitnet térrea, mobiliada, com divisória da cozinha para dormitório.

Dormitório com bancada estudos, armário guarda roupas, cama solteiro;
Cozinha com geladeira, fogão, exaustor, bancada de refeições e armários.
Banheiros com box de vidro e espelho com armário;
Rateio: valor por mes, por morador: Inclui no rateio: energia elétrica, internet, gás, IPTU, vigilante patrimonial, água, manutenções de áreas comuns;

Vaga de garagem: cobrado R$ 160,00 por mês - consultar disponibilidade",Kitnet em Campinas,1quarto,1banheiro ,13m²,not found,not found
46,R$ 1.800,R$ 1.800/mês,Cidade Universitária,"Cidade Universitária 01 

Prédio novo com total de 15 unidades mobiliadas, com ar-condicionado, excelente padrão de acabamento e localização.
Todas unidades com divisória;

1 dormitório com ar-condicionado, armário, bancada de estudos, cama solteiro sem colchão;
Banheiro com box de vidro e espelho;
Cozinha com divisória para o dormitório, com armários, bancada de refeições, geladeira, fogão, depurador de ar;
Lavanderia de uso comunitário com maquina.

Aluguel inclui: internet, gás, IPTU, vigilância patrimonial, água, jardinagem e manutenção de áreas comuns.
Energia elétrica: individual.
Vaga de garagem: Locado a parte, quando disponível, R$ 160,00 a vaga;",Kitnet em Campinas,1quarto,1banheiro ,"24,60m²",not found,not found
47,R$ 1.700,R$ 1.700/mês,Cidade Universitária,"Cidade Universitária 01 - 150 metros Unicamp - Frente Delegacia 

Kitnet de alta padrão com divisória da cozinha para o dormitório, mobiliada com geladeira, fogão, exaustor, armário de cozinha, bancada de refeições, bancada de estudos, cama, guarda-roupas, ar-condicionado;
Banheiro com box de vidro;
A poucos metros da Unicamp;

Inclui no valor: IPTU, gás, água, internet (cortesia), vigilância patrimonial, manutenções de áreas comuns;
Rateio para 2° morador: R$150,00 
Energia elétrica individual.
Vaga de garagem locada a parte, conforme disponibilidade;",Kitnet em Campinas,1quarto,1banheiro ,22m²,not found,not found
48,R$ 1.550,R$ 1.650/mês,Cidade Universitária,"Kitnet 1º andar com divisória da cozinha para o dormitório, em frente Unicamp.
Cozinha com gabinete, geladeira, fogão, gabinete cozinha. Banheiro com box de vidro, gabinete pia de cozinha.
Dormitório preparado para ar-condicionado.

Rateio: valor por mês, por pessoa - inclui: gás; IPTU; vigilância patrimonial; água; faxina, jardinagem e manutenções de áreas externas.
Energia elétrica: medidor individual.
Vagas de garagem locado a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,32m²,not found,not found
49,R$ 1.500,R$ 1.770/mês,Jardim Santa Genebra II (Barão Geraldo),"Próximo ao terminal de Barão Geraldo.

Kitnet com divisória da cozinha para dormitório.
Mobiliada com geladeira, cooktop, micro-ondas, armários na cozinha, guarda roupa, ar condicionado, televisão e cama.
Banheiro com box de vidro.
Quintal pequeno com tanque.

Rateio inclui: internet, água, IPTU, gás, manutenções de áreas externas, lavanderia coletiva,
Energia individual locatário.
Vaga de garagem: locada a parte conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,27m²,not found,not found
50,R$ 1.050,R$ 1.305/mês,Cidade Universitária,"Cidade Universitária 01 - 700 metros Unicamp;

Kitnet térrea, mobiliada, com divisória da cozinha para dormitório.

Dormitório com bancada estudos, armário guarda roupas, cama solteiro;
Cozinha com geladeira, fogão, exaustor, bancada de refeições e armários.
Banheiros com box de vidro e espelho com armário;

Condomínio / rateio: valor por mes, por morador; Inclui no rateio: energia elétrica, internet, gás, IPTU, vigilante patrimonial, água, manutenções de áreas comuns;

Vaga de garagem: cobrado a parte, conforme disponibilidade;",Kitnet em Campinas,1quarto,1banheiro ,20m²,not found,not found
51,R$ 1.150,R$ 1.500/mês,Cidade Universitária,"Cidade Universitária 01 - Próximo Dalben/Padaria Alemã 

Apto de região Central de Barão Geraldo , Av. Dr. Romeu Tórtima, 497. 1º andar, com 32m², divididos entre sala de estar, cozinha com gabinete, lavanderia individual, 01 dormitório, banheiro com box de vidro

Rateio (condominio) variável em torno de R$ 280,00/mês - Inclui: Água, IPTU, internet, manutenções de áreas comuns; 

Energia elétrica e gás: individuais.",Apartamento em Campinas,1quarto,1banheiro ,1vaga,32m²,not found
52,R$ 1.000.000,"R$ 5.591,04/mês",Cidade Universitária II,"Casa térrea bem localizada, possui 02 salas integradas, cómodo que pode ser utilizado como escritório e/ou sala de tv. 04 quartos sendo 02 suítes (uma delas com closet, lavabo, ampla cozinha com armários, despensa, área de serviço, depósito, área gourmet com churrasqueira e banheiro completo, piscina e amplo quintal.",Casa em Campinas,4quartos,2suítes,5banheiros,6vagas,240m²
